"","degree","closeness","betweenness"
"ghazal, p.",147,0.00131406044678055,16339.1478184184
"watterson, s.",92,0.00117233294255569,5412.88836388998
"millar, a. j.",86,0.00125628140703518,17873.587253009
"forster, t.",78,0.00111234705228031,7588.10032573323
"le novere, n.",70,0.00117924528301887,3261.07148465996
"le bihan, t.",66,0.000977517106549365,14654.1490510843
"freeman, t. c.",63,0.0011441647597254,3220.35128661513
"hucka, m.",63,0.00107874865156419,1019.78255130519
"sahle, s.",63,0.00107874865156419,1019.78255130519
"snoep, j. l.",63,0.00107874865156419,1019.78255130519
"goryanin, i.",62,0.00121506682867558,7740.75327085925
"sorokin, a.",57,0.00114678899082569,1662.50740675775
"robertson, k. a.",50,0.000925069380203515,743.225057693607
"lacaze, p.",49,0.001,349.273415348589
"moodie, s.",49,0.000998003992015968,1556.80748794662
"angulo, a.",44,0.000904977375565611,263.231654800924
"kolpakov, f.",44,0.00106269925611052,1109.63468155124
"adams, r.",42,0.00103092783505155,1684.50928931746
"blanc, m.",41,0.000905797101449275,349.644620349674
"akman, o. e.",40,0.00110864745011086,4215.64775621536
"dickinson, p.",39,0.000940733772342427,271.793879084282
"aladjem, m. i.",38,0.00106382978723404,8.50605179412378
"bergman, f. t.",38,0.00106382978723404,8.50605179412378
"boyd, s. e.",38,0.00106382978723404,8.50605179412378
"calzone, l.",38,0.00106382978723404,8.50605179412378
"courtot, m.",38,0.00106382978723404,8.50605179412378
"demir, e.",38,0.00106382978723404,8.50605179412378
"dogrusoz, u.",38,0.00106382978723404,8.50605179412378
"funahashi, a.",38,0.00106382978723404,8.50605179412378
"gauges, r.",38,0.00106382978723404,8.50605179412378
"ghosh, s.",38,0.00106382978723404,8.50605179412378
"jouraku, a.",38,0.00106382978723404,8.50605179412378
"kawaji, h.",38,0.00106382978723404,8.50605179412378
"kell, d. b.",38,0.00106382978723404,8.50605179412378
"kim, s.",38,0.00106382978723404,8.50605179412378
"kitano, h.",38,0.00106382978723404,8.50605179412378
"kohn, k.",38,0.00106382978723404,8.50605179412378
"li, l.",38,0.00106382978723404,8.50605179412378
"luna, a.",38,0.00106382978723404,8.50605179412378
"matsuoka, y.",38,0.00106382978723404,8.50605179412378
"mi, h.",38,0.00106382978723404,8.50605179412378
"sander, c.",38,0.00106382978723404,8.50605179412378
"sauro, h.",38,0.00106382978723404,8.50605179412378
"schmidt, e.",38,0.00106382978723404,8.50605179412378
"schreiber, f.",38,0.00106382978723404,8.50605179412378
"villeger, a.",38,0.00106382978723404,8.50605179412378
"wegner, k.",38,0.00106382978723404,8.50605179412378
"wimalaratne, s. m.",38,0.00106382978723404,8.50605179412378
"wu, g.",38,0.00106382978723404,8.50605179412378
"shui, g.",36,0.000911577028258888,360.420683661801
"wenk, m. r.",36,0.000911577028258888,360.420683661801
"hsieh, w. y.",32,0.000811688311688312,24.4287013759306
"kerr, l. e.",32,0.00112485939257593,3940.16768672016
"o'neill, j. s.",32,0.000929368029739777,1111.32952028261
"kropp, k. a.",31,0.000940733772342427,46.2336009875103
"ruzsics, z.",30,0.000967117988394584,272.186618293198
"sing, g.",30,0.000933706816059757,91.4315005873917
"van ooijen, g.",30,0.000894454382826476,855.106094891855
"bergmann, f. t.",29,0.000796178343949045,5.91111111111111
"miller, a. k.",29,0.000796178343949045,5.91111111111111
"nickerson, d.",29,0.000796178343949045,5.91111111111111
"waltemath, d.",29,0.000796178343949045,5.91111111111111
"craigon, m.",28,0.000962463907603465,128.029050572851
"beard, d. a.",27,0.000858369098712446,16.1879583364997
"bhalla, u. s.",27,0.000858369098712446,16.1879583364997
"britten, r.",27,0.000858369098712446,16.1879583364997
"chelliah, v.",27,0.000858369098712446,16.1879583364997
"cooling, m. t.",27,0.000858369098712446,16.1879583364997
"cooper, j.",27,0.000858369098712446,16.1879583364997
"crampin, e. j.",27,0.000858369098712446,16.1879583364997
"garny, a.",27,0.000858369098712446,16.1879583364997
"hoops, s.",27,0.000858369098712446,16.1879583364997
"hunter, p.",27,0.000858369098712446,16.1879583364997
