Node_ID,Degree_Centrality,Component_Membership
"adams, r.",42,1
"adams, r. r.",7,1
"aebischer, t.",4,1
"aitken, s.",15,1
"akman, o. e.",40,1
"aladjem, m. i.",38,1
"alba, m. m.",10,1
"alexander, r.",1,1
"alexander, r. d.",15,1
"ali, s.",13,1
"allerhand, m.",5,1
"amin, n.",6,1
"angulo, a.",44,1
"armstrong, n. j.",2,1
"auboeuf, d.",7,1
"awad, t.",9,1
"badouel, c.",6,1
"baliga, n. s.",18,1
"ballarini, p.",1,1
"barrass, j. d.",13,1
"barrios-llerena, m. e.",12,1
"basyuk, e.",7,1
"beard, d. a.",27,1
"beggs, j. d.",18,1
"beijersbergen, r. l.",13,1
"bell, k.",4,1
"bellora, n.",10,1
"bergman, f. t.",38,1
"bergmann, f. t.",29,1
"bertrand, e.",19,1
"bhalla, u. s.",27,1
"binns, n.",5,1
"birmingham, a.",13,1
"blanc, m.",41,1
"bohnsack, m. t.",5,1
"bouget, f. y.",9,1
"boyd, s. e.",38,1
"britten, r.",27,1
"brown, p. e.",10,1
"busche, a.",15,1
"calzone, l.",38,1
"caravagna, g.",1,1
"carre, i.",5,1
"chelliah, v.",27,1
"chen, y.",14,1
"chirnside, e. s.",8,1
"chisholm, m.",14,1
"ciocchetta, f.",8,1
"clark, a.",17,1
"cooling, m. t.",27,1
"cooper, j.",27,1
"cordin, o.",2,1
"corellou, f.",7,1
"costa, m.",13,1
"courtot, m.",38,1
"covey, d. f.",22,1
"craig, k.",11,1
"craigon, m.",28,1
"crampin, e. j.",27,1
"daly, r.",5,1
"de graaf, m.",10,1
"degasperi, a.",3,1
"deighton, r. f.",12,1
"demir, e.",38,1
"dichtl, b.",12,1
"dickinson, p.",39,1
"dixon, l. e.",11,1
"dogrusoz, u.",38,1
"dolken, l.",17,1
"domijan, m.",13,1
"duguid, a.",5,1
"dunican, d. j.",13,1
"dyrlund, t. f.",5,1
"edgar, r. s.",18,1
"edwards, k. d.",20,1
"eleftheriadis, g.",14,1
"enright, a. j.",6,1
"falkenberg, h.",5,1
"faratian, d.",11,1
"faulkner, c.",4,1
"feechan, a.",11,1
"feeney, k. a.",18,1
"fernandez, a. p.",7,1
"finkenstadt, b.",13,1
"foreman, j.",13,1
"forster, t.",78,1
"freeman, t. c.",63,1
"friedel, c. c.",17,1
"funahashi, a.",38,1
"galpin, v.",4,1
"garcia-garcia, j.",7,1
"garcia-ramirez, j. j.",11,1
"gardano, l.",9,1
"garg, a.",6,1
"garny, a.",27,1
"gauges, r.",38,1
"ghazal, p.",147,1
"ghosh, s.",38,1
"gibbs, h.",10,1
"gilmore, s.",24,1
"girolami, m.",5,1
"glass, c. k.",22,1
"gliddon, c. m.",9,1
"goltsov, a.",21,1
"goryanin, i.",62,1
"gould, p. d.",13,1
"granneman, s.",7,1
"green, e. w.",18,1
"griffiths, j.",13,1
