"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LP25W4XX","journalArticle","2017","Bovijn, J.; Kajee, N.; Esterhuizen, T. M.; Van Schalkwyk, S. C.","Research involvement among undergraduate health sciences students: a cross-sectional study","BMC Medical Education","","1472-6920","10.1186/s12909-017-1025-x","https://doi.org/10.1186/s12909-017-1025-x","The development of research capacity among undergraduates is an important intervention in countering the documented decrease in medical and health sciences researchers. The literature on undergraduate research generally emanates from smaller scale studies that have been conducted in high income countries, with a focus on medical students. This cross-sectional study was conducted in a Sub-Saharan country, included a population of medical and allied health professions (AHP) students, and aimed to improve our understanding of the factors influencing undergraduate student research.","2017-10-16","2024-08-08 17:26:26","2024-08-08 17:26:26","2024-08-08 17:26:26","186","","1","17","","BMC Medical Education","Research involvement among undergraduate health sciences students","","","","","","","","","","","","BioMed Central","","","","C:\Users\hdeeb\Zotero\storage\P7YR5C2Y\Bovijn et al. - 2017 - Research involvement among undergraduate health sc.pdf; C:\Users\hdeeb\Zotero\storage\5YB9HEND\s12909-017-1025-x.html","","","Interprofessional education; Research competence; Research participation; Student research; Undergraduate research","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KJ3J6SB8","journalArticle","2021","Mugabo, Eric; Velin, Lotta; Nduwayezu, Richard","Exploring factors associated with research involvement of undergraduate students at the College of Medicine and Health Sciences, University of Rwanda","BMC Medical Education","","1472-6920","10.1186/s12909-021-02662-3","https://doi.org/10.1186/s12909-021-02662-3","Early involvement of students in research processes is an important step in professional development and can increase the academic output of the university. Previous studies indicate low research involvement amongst undergraduate students, however limited research has been done in sub-Saharan Africa. This study aimed to describe the level of research involvement amongst undergraduate students at the College of Medicine and Health Sciences (CMHS) at University of Rwanda (UR) and to assess factors associated with research involvement.","2021-04-26","2024-08-08 17:26:20","2024-08-08 17:26:20","2024-08-08 17:26:20","239","","1","21","","BMC Medical Education","","","","","","","","","","","","","BioMed Central","","","","C:\Users\hdeeb\Zotero\storage\BEG5E9TH\Mugabo et al. - 2021 - Exploring factors associated with research involve.pdf; C:\Users\hdeeb\Zotero\storage\NCZPQSSM\s12909-021-02662-3.html","","","Barriers; Facilitators; Medical student; Research; Rwanda; Undergraduate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6E7KQ6YM","conferencePaper","2020","Abouzeid, Marian; Elzalabany, Manal; Nuwayhid, Iman; Jabbour, Samer","Conflict-Related Population Health Research in Syria, 2011-2019: An Assessment of Information Gaps, Research Needs and Challenges, for The Lancet - AUB Commission on Syria","","","","10.21203/rs.3.rs-93301/v1","https://www.researchsquare.com/article/rs-93301/v1","Abstract                        Backgorund             . While there has been a growth of research on health and the Syrian conflict, most such research covers Syrian refugees. There is limited information about the scope and focus of research on health and population inside Syria. While there are several systemtic and scoping literarure reviews of health of Syrian refugees, there has not been a sccoping review of research literature on health issues inside Syria.             Methods             . As part of a broader scoping review covering January 2011 to December 2019, we examined English-language conflict-related research papers that studied health issues inside Syria and focused on Syrians or those permanently resident in Syria. We classified research articles based on the major thematic areas studied. We abstracted bibliometric information, study characteristics, funding statements and reported key limitations and challenges of conducting research. To gain additional insights or data, we examined separately publications reporting field and operational activities as well as personal reflections and narrative accounts of first-hand experiences inside Syria.             Results             . Of 2,088 papers identified in the scoping review, 708 (34%) exclusively focus on health issues of Syrians inside Syria, of which 350 (49%) are conflict-related with. Of conflict-related publications, 89 (25%) are research papers.  Annual volume of research increased over time, from one publication in 2013 to 27 publications in each of 2018 and 2019. Damascus is the most frequently studied governorate (n=33), followed by Aleppo (n=25). Papers used a wide range of research methodologies, primarily quantitative (n=68). The country of institutional affiliation(s) of first and last authors are Syria (n=30, 20 respectively), the United States (n=25, 19 respectively) or the United Kingdom (n=12, 10 respectively). Themes most covered were health status, health system and humanitarian assistance, response or needs (n=38, 32, 26 respectively). Thirty one publications presented field and operational activities and eight publications were reflections or first-hand personal accounts of experiences inside Syria. Authors encountered contextual, methodological and administrative challenges in doing research on health inside Syria.             Conclusions             . Although it is commonly stated that Syria is among the most documented of recent wars, our analysis shows that a relatively limited number of research studies focused on health or populations inside Syria have been published over the nine years of the conflict. Beyond the need to increase the volume of research, it is important to address the knowledge gaps identified in this review.","2020-10-19","2024-08-08 17:20:21","2024-08-08 17:20:21","2024-08-08 17:20:21","","","","","","","Conflict-Related Population Health Research in Syria, 2011-2019","","","","","","","","https://creativecommons.org/licenses/by/4.0/","","","","In Review","","","","C:\Users\hdeeb\Zotero\storage\FZJT74CH\Abouzeid et al. - 2020 - Conflict-Related Population Health Research in Syr.pdf; ","https://www.semanticscholar.org/reader/6826059fb226048a58162ba28a4004c408d78d15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6HE6PFEC","journalArticle","2021","Douedari, Yazan; Alhaffar, Mervat; Duclos, Diane; Al-Twaish, Mohamed; Jabbour, Samer; Howard, Natasha","‘We need someone to deliver our voices’: reflections from conducting remote qualitative research in Syria","Conflict and Health","","1752-1505","10.1186/s13031-021-00361-w","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8052531/","The need to generate evidence in spaces considered insecure and inhabited by potentially extremely vulnerable individuals (e.g. conflict-affected people who may not have means to move) has led researchers to study conflict-affected settings remotely. Increased attention to remote research approaches from social scientists, due to COVID-19-related travel restrictions, is sparking interest on appropriate methods and tools. Drawing on several years’ experience of remotely conducting qualitative research in Syria, we discuss challenges and approaches to conducting more inclusive, participatory, and meaningful research from a distance. The logistics, ethics, and politics of conducting research remotely are symptomatic of broader challenges in relation to the decolonisation of global and humanitarian health research. Key to the success of remote approaches is the quality of the relationships researchers need to be able to develop with study participants without face-to-face interactions and with limited engagement ‘in the field’. Particularly given overdue efforts to decolonise research institutions and methods, lead researchers should have a meaningful connection with the area in which they are conducting research. This is critical both to reduce chances that it will be extractive and exploitative and additionally for the quality of interpretation.","2021-04-17","2024-08-08 17:19:25","2024-08-08 17:19:25","2024-08-08 17:19:24","28","","","15","","Confl Health","‘We need someone to deliver our voices’","","","","","","","","","","","","PubMed Central","","PMID: 33865454 PMCID: PMC8052531","","C:\Users\hdeeb\Zotero\storage\5W3BZGAX\Douedari et al. - 2021 - ‘We need someone to deliver our voices’ reflectio.pdf; ","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8052531/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9MC4SUL8","journalArticle","2021","Steinert, Janina Isabel; Atika Nyarige, David; Jacobi, Milan; Kuhnt, Jana; Kaplan, Lennart","A systematic review on ethical challenges of ‘field’ research in low-income and middle-income countries: respect, justice and beneficence for research staff?","BMJ Global Health","","2059-7908","10.1136/bmjgh-2021-005380","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8292801/","Introduction Primary data collection in low-income and middle-income countries (LMICs) is associated with a range of ethical complexities. Considerations on how to adequately ensure the well-being of research staff are largely neglected in contemporary ethics discourse. This systematic review aims to identify the ethical challenges that research staff across different hierarchical levels and scientific disciplines face when conducting research in LMICs. Methods We searched 13 electronic databases and handsearched publications in six selected journals as well as the reference lists of all included studies. No restrictions were applied with respect to the publication date, research design, and target population. Results 23 151 studies were retrieved, 183 of which met our inclusion criteria. We identified nine different types of ethical challenges that research staff may be exposed to during field research, including (1) role conflicts that can emerge from participants’ help requests and the high level of deprivation found in certain study settings, (2) feelings of guilt and (3) detrimental mental health impacts. Further challenges were (4) sexual harassment (5) safety risks and (6) political repression, particularly in postconflict, disaster-ridden or autocratic study contexts. Additionally, studies reported (7) inadequate working conditions and (8) power imbalances within research teams, while (9) ethics boards were found to be ill equipped to anticipate and address emerging risks, thus increasing the ethical liability of researchers. Conclusion This review revealed several complex ethical challenges that research staff may face during data collection. In order to achieve the Sustainable Development Goal 8.8 on ‘safe and secure working environments’ and to protect research staff from harm, amendments must urgently be made to current ethical standards. PROSPERO registration number CRD42019131013","2021-07-15","2024-08-08 17:17:52","2024-08-08 17:17:52","2024-08-08 17:17:51","e005380","","7","6","","BMJ Glob Health","A systematic review on ethical challenges of ‘field’ research in low-income and middle-income countries","","","","","","","","","","","","PubMed Central","","PMID: 34285041 PMCID: PMC8292801","","C:\Users\hdeeb\Zotero\storage\Z6FR33WL\Steinert et al. - 2021 - A systematic review on ethical challenges of ‘fiel.pdf; ","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8292801/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F8S2B2PF","journalArticle","2023","Moshtari, Mohammad; Safarpour, Alireza","Challenges and strategies for the internationalization of higher education in low-income East African countries","Higher Education","","0018-1560","10.1007/s10734-023-00994-1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9869809/","As it becomes more crucial to push the boundaries of science to develop new technologies and important global initiatives, internationalization can be instrumental in helping underdeveloped countries overcome challenges such as poverty, climate change, and educational inequalities. Higher education institutions have always faced challenges in the process of internationalization, which have occupied scholarly attention in recent decades, but little research has been conducted on the internationalization of higher education in less developed African countries. This qualitative study aims to shed light on the challenges of internationalization of higher education in low-income countries in East Africa. After reviewing the literature and interviewing academics, the obtained data were thematically analyzed. The results suggested 12 main challenges, which were classified into four major categories. The challenges include a lack of clear policies and guidelines; the inefficiency of the organizational structure of internationalization; financial, infrastructure, and equipment problems; weaknesses in scientific, skill, and language competences; cultural differences; non-reciprocal relationships; and a brain drain. Finally, strategies for responding to these challenges with regard to the internal and external environments of higher education institutions were proposed. Among the internal strategies of higher education institutions are the development of clear policies and visions, planning for the development of human resources, and sustainable budgeting for internationalization programs. External strategies emphasize the development of national policies and laws based on contextual and environmental conditions, as well as interaction and participation in international meetings to expand communication and use the scientific and economic capacities of international agencies and institutions.","2023-01-23","2024-08-08 17:17:43","2024-08-08 17:17:43","2024-08-08 17:17:43","1-21","","","","","High Educ (Dordr)","","","","","","","","","","","","","PubMed Central","","PMID: 36713135 PMCID: PMC9869809","","C:\Users\hdeeb\Zotero\storage\CG7X5H4Q\Moshtari and Safarpour - 2023 - Challenges and strategies for the internationaliza.pdf; ","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9869809/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NLDI2XE6","journalArticle","2023","Miller, Andrew G","Getting Started in Research: The Role of Mentorship, Forming the Team, and Developing a Process","Respiratory Care","","0020-1324","10.4187/respcare.11006","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10353170/","Research is critical to providing scientifically sound treatments in respiratory care. Getting started in research requires mentorship to develop the skills required for success. Teamwork is integral to successful research programs. There are many roles that can be filled by members of the research team, and most researchers begin by assisting experienced researchers. Supporting data demonstrate that having a formal process for research can improve the quality of research produced by departments. This article will review how to get started in research, including the importance of mentorship, roles that can be filled by team members, and how to develop a process for research.","2023-08","2024-08-08 17:16:13","2024-08-08 17:16:13","2024-08-08 17:16:13","1174-1179","","8","68","","Respir Care","Getting Started in Research","","","","","","","","","","","","PubMed Central","","PMID: 37041026 PMCID: PMC10353170","","C:\Users\hdeeb\Zotero\storage\4Z89QECV\Miller - 2023 - Getting Started in Research The Role of Mentorshi.pdf; ","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10353170/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4UVV84DE","webpage","","","SJR - Syrian Arab Republic","","","","","https://www.scimagojr.com/countrysearch.php?country=SY","","","2024-08-08 17:14:27","2024-08-08 17:14:27","2024-08-08 17:14:27","","","","","","","","","","","","","","","","","","","","","","","C:\Users\hdeeb\Zotero\storage\76ZG486M\countrysearch.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3KA5AYMV","journalArticle","2020","Glassock, Richard J.; Delanaye, Pierre; Rule, Andrew D.","Should the definition of CKD be changed to include age-adapted GFR criteria? YES","Kidney International","","1523-1755","10.1016/j.kint.2019.08.033","","","2020-01","2024-07-25 10:14:51","2024-07-25 10:14:51","","34-37","","1","97","","Kidney Int","Should the definition of CKD be changed to include age-adapted GFR criteria?","","","","","","","eng","","","","","PubMed","","PMID: 31901354","","","http://www.ncbi.nlm.nih.gov/pubmed/31901354","","Adult; Age Factors; Aged; Aging; Glomerular Filtration Rate; Humans; Middle Aged; Reference Values; Renal Insufficiency, Chronic; Young Adult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ZNMKUVM","journalArticle","2017","Denic, Aleksandar; Mathew, Jerry; Lerman, Lilach O.; Lieske, John C.; Larson, Joseph J.; Alexander, Mariam P.; Poggio, Emilio; Glassock, Richard J.; Rule, Andrew D.","Single-Nephron Glomerular Filtration Rate in Healthy Adults","The New England Journal of Medicine","","1533-4406","10.1056/NEJMoa1614329","","BACKGROUND: The glomerular filtration rate (GFR) assesses the function of all nephrons, and the single-nephron GFR assesses the function of individual nephrons. How the single-nephron GFR relates to demographic and clinical characteristics and kidney-biopsy findings in humans is unknown. METHODS: We identified 1388 living kidney donors at the Mayo Clinic and the Cleveland Clinic who underwent a computed tomographic (CT) scan of the kidney with the use of contrast material and an iothalamate-based measurement of the GFR during donor evaluation and who underwent a kidney biopsy at donation. The mean single-nephron GFR was calculated as the GFR divided by the number of nephrons (calculated as the cortical volume of both kidneys as assessed on CT times the biopsy-determined glomerular density). Demographic and clinical characteristics and biopsy findings were correlated with the single-nephron GFR. RESULTS: A total of 58% of the donors were women, and the mean (±SD) age of the donors was 44±12 years. The mean GFR was 115±24 ml per minute, the mean number of nephrons was 860,000±370,000 per kidney, and the mean single-nephron GFR was 80±40 nl per minute. The single-nephron GFR did not vary significantly according to age (among donors <70 years of age), sex, or height (among donors ≤190 cm tall). A higher single-nephron GFR was independently associated with larger nephrons on biopsy and more glomerulosclerosis and arteriosclerosis than would be expected for age. A higher single-nephron GFR was associated with a height of more than 190 cm, obesity, and a family history of end-stage renal disease. CONCLUSIONS: Among healthy adult kidney donors, the single-nephron GFR was fairly constant with regard to age, sex, and height (if ≤190 cm). A higher single-nephron GFR was associated with certain risk factors for chronic kidney disease and certain kidney-biopsy findings. (Funded by the National Institute of Diabetes and Digestive and Kidney Diseases.).","2017-06-15","2024-07-25 10:14:19","2024-07-25 10:14:19","","2349-2357","","24","376","","N Engl J Med","","","","","","","","eng","","","","","PubMed","","PMID: 28614683 PMCID: PMC5664219","","C:\Users\hdeeb\Zotero\storage\BEHFP7CH\Denic et al. - 2017 - Single-Nephron Glomerular Filtration Rate in Healt.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/28614683","","Adult; Age Factors; Aged; Glomerular Filtration Rate; Humans; Middle Aged; Renal Insufficiency, Chronic; Young Adult; Body Mass Index; Female; Kidney; Kidney Transplantation; Living Donors; Male; Nephrons; Nephrosclerosis; Risk Factors; Tomography, X-Ray Computed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
