"","degree","closeness","betweenness"
"Daunt F.",64,0.0147058823529412,970.142857142858
"Bogdanova M.I.",48,0.0116279069767442,50.4166666666667
"Kim S.",48,0.00170648464163823,5330.79551282051
"Bolton M.",47,0.0114942528735632,28.6666666666667
"Arnould J.P.Y.",45,0.0112359550561798,0
"Beal M.",45,0.0112359550561798,0
"Carneiro A.P.B.",45,0.0112359550561798,0
"Catry P.",45,0.0112359550561798,0
"Clatterbuck C.",45,0.0112359550561798,0
"Conners M.",45,0.0112359550561798,0
"Delord K.",45,0.0112359550561798,0
"Elliott K.",45,0.0112359550561798,0
"Fromant A.",45,0.0112359550561798,0
"Granadeiro J.P.",45,0.0112359550561798,0
"Green J.A.",45,0.0112359550561798,0
"Hamer K.C.",45,0.0112359550561798,0
"Ito M.",45,0.0112359550561798,0
"Jeavons R.",45,0.0112359550561798,0
"Kim J.-H.",45,0.0112359550561798,0
"Kokubun N.",45,0.0112359550561798,0
"Koyama S.",45,0.0112359550561798,0
"Lane J.V.",45,0.0112359550561798,0
"Lee W.Y.",45,0.0112359550561798,0
"Matsumoto S.",45,0.0112359550561798,0
"Oppel S.",45,0.0112359550561798,0
"Orben R.A.",45,0.0112359550561798,0
"Owen E.",45,0.0112359550561798,0
"Paiva V.H.",45,0.0112359550561798,0
"Patterson A.",45,0.0112359550561798,0
"Phillips R.A.",45,0.0112359550561798,0
"Pollock C.J.",45,0.0112359550561798,0
"Ramos J.A.",45,0.0112359550561798,0
"Sagar P.",45,0.0112359550561798,0
"Sato K.",45,0.0112359550561798,0
"Shaffer S.A.",45,0.0112359550561798,0
"Soanes L.",45,0.0112359550561798,0
"Takahashi A.",45,0.0112359550561798,0
"Thompson D.R.",45,0.0112359550561798,0
"Thorne L.",45,0.0112359550561798,0
"Torres L.",45,0.0112359550561798,0
"Watanuki Y.",45,0.0112359550561798,0
"Waugh S.M.",45,0.0112359550561798,0
"Weimerskirch H.",45,0.0112359550561798,0
"Whelan S.",45,0.0112359550561798,0
"Xavier J.C.",45,0.0112359550561798,0
"Yoda K.",45,0.0112359550561798,0
"Dias M.P.",45,0.0112359550561798,0
"Wang Y.",38,0.00221238938053097,9175.83571428572
"Boeke J.D.",30,0.002,3168.75570818072
"Cai Y.",26,0.00185528756957328,728.609920634918
"Rappsilber J.",26,0.00158730158730159,4433.25
"Zou J.",26,0.00192678227360308,6987.91666666666
"Bocquet L.",25,0.04,6.72727272727273
"Janardanan A.",25,0.04,6.72727272727273
"Jiménez-Ángeles F.",25,0.04,6.72727272727273
"Kanoufi F.",25,0.04,6.72727272727273
"Levin Y.",25,0.04,6.72727272727273
"Marbach S.",25,0.04,6.72727272727273
"Robin P.",25,0.04,6.72727272727273
"Siwy Z.S.",25,0.04,6.72727272727273
"Stein D.",25,0.04,6.72727272727273
"Yossifon G.",25,0.04,6.72727272727273
"van Roij R.",25,0.04,6.72727272727273
"Diallo A.",22,0.0135135135135135,714
"Bader J.S.",18,0.001953125,2359.66767399267
"Cai J.",18,0.00162866449511401,169.744139194139
"Rambaut A.",18,0.0138888888888889,724.666666666667
"Holm C.",16,0.0294117647058824,0
"Horrocks M.H.",16,0.0454545454545455,99.8964285714286
"Johnson R.",16,0.0294117647058824,0
"Perkin S.",16,0.0294117647058824,0
"Pireddu G.",16,0.0294117647058824,0
"Rotenberg B.",16,0.0294117647058824,0
"Valtiner M.",16,0.0294117647058824,0
"Bazant M.Z.",15,0.0285714285714286,0
"Harris M.P.",15,0.00847457627118644,23.3095238095238
"Kamsma T.M.",15,0.0285714285714286,0
"Kornyshev A.A.",15,0.0285714285714286,0
"Lemay S.G.",15,0.0285714285714286,0
"Loake G.J.",15,0.00163934426229508,2221.09166666667
"Zhao Y.",15,0.00162074554294976,108.990628815629
"Zhang Y.",15,0.0285714285714286,0
"Abayzeed S.",14,0.0277777777777778,0
"Barnaveli A.",14,0.0277777777777778,0
"Blaxter M.",14,0.0714285714285714,24
"Dai J.",14,0.00181488203266788,90.7611111111114
"Davies J.A.",14,0.0714285714285714,22.7
"Dryfe R.A.",14,0.0277777777777778,0
"Faez S.",14,0.0277777777777778,0
"Ye J.-H.",14,0.00148809523809524,261.166666666666
"Alexander S.P.H.",13,0.0666666666666667,9.7
"Stracquadanio G.",13,0.00161550888529887,31.6819597069597
"Wanless S.",13,0.00833333333333333,13.9761904761905
"Wondji C.S.",13,0.0769230769230769,23.5833333333333
"Airey G.",12,0.0833333333333333,0
"Armstrong J.F.",12,0.0625,4.2
"Broad G.",12,0.0625,0
"Child H.T.",12,0.0833333333333333,0
"Durbin R.",12,0.0625,0
"Evens N.",12,0.0833333333333333,0
"Gaya E.",12,0.0625,0
"Hart M.",12,0.0625,0
"He K.",12,0.00176991150442478,705.700000000001
"Hearn J.",12,0.0714285714285714,16.0833333333333
"Hollingsworth P.",12,0.0625,0
"Jeffries A.R.",12,0.0833333333333333,0
"Kersey P.",12,0.0625,0
"Lawniczak M.",12,0.0625,0
"Maloney D.M.",12,0.0833333333333333,0
"McGinley S.",12,0.0833333333333333,0
"Mieszkowska N.",12,0.0625,0
"Newell M.A.",12,0.00819672131147541,8.55952380952381
"Parker A.",12,0.0833333333333333,0
"Paterson S.",12,0.0833333333333333,0
"Porter J.",12,0.0833333333333333,0
"Richards T.",12,0.0625,0
"Templeton K.",12,0.0833333333333333,0
"Twyford A.",12,0.0625,0
"Wade M.J.",12,0.0833333333333333,0
"Wild J.",12,0.0833333333333333,0
"Wilson W.",12,0.0625,0
"Michels P.A.M.",12,0.0714285714285714,22
"Bassano I.",12,0.0833333333333333,0
"Barnes I.",12,0.0625,0
"Achjian R.W.",11,0.0625,0
"Alencar M.B.",11,0.0625,0
"Cockell C.S.",11,0.0909090909090909,0.222222222222222
"Damasceno F.S.",11,0.0625,0
"Drozdovskiy I.",11,0.0909090909090909,0.222222222222222
"Faccenda E.",11,0.0588235294117647,1.2
"Frias J.M.",11,0.0909090909090909,0.222222222222222
"Girard R.B.M.M.",11,0.0625,0
"Haanstra J.R.",11,0.0625,0
"Harding S.D.",11,0.0588235294117647,1.2
"Hiesinger H.",11,0.0909090909090909,0.222222222222222
"Kullerud K.",11,0.0909090909090909,0.222222222222222
"Lauer S.",11,0.00161030595813205,21.7845238095238
"Luévano-Martinez L.A.",11,0.0625,0
"Mangold N.",11,0.0909090909090909,0.222222222222222
"Marchese L.",11,0.0625,0
"Marsiccobetre S.",11,0.0625,0
"Mitchell L.A.",11,0.00161030595813205,20.3607142857143
"Murillo A.M.",11,0.0625,0
"Nascimento J.F.",11,0.0625,0
"Pozzobon R.",11,0.0909090909090909,0.222222222222222
"Rios-Solis L.",11,0.0526315789473684,93
"Souza R.O.O.",11,0.0625,0
"Turchi L.",11,0.0909090909090909,0.222222222222222
"Wang J.-W.",11,0.00130039011703511,2.09166666666667
"Glatt S.",11,0.00126903553299492,26.5000000000002
"Meng L.-S.",11,0.00130039011703511,2.09166666666667
"Bessone L.",11,0.0909090909090909,0.222222222222222
"Chi Y.R.",11,0.00148148148148148,259.583333333333
"Bao Q.-X.",10,0.0012987012987013,1.99166666666667
"Clarke D.J.",10,0.032258064516129,0.896428571428571
"Downey P.",10,0.032258064516129,0.896428571428571
"Fabbro D.",10,0.0555555555555556,0
"Jaciuk M.",10,0.00126742712294043,23.7500000000002
"Kelly E.",10,0.0555555555555556,0
"Kunath T.",10,0.032258064516129,0.896428571428571
"Mathie A.A.",10,0.0555555555555556,0
"Mu X.-R.",10,0.0012987012987013,1.99166666666667
"Mutono N.",10,0.0625,24.8333333333333
"Payler S.J.",10,0.0833333333333333,0
"Peters J.A.",10,0.0555555555555556,0
"Rau A.",10,0.00126742712294043,23.7500000000002
"Sauro F.",10,0.0833333333333333,0
"Schaffrath R.",10,0.00126742712294043,2.25
"Scherf D.",10,0.00126742712294043,23.7500000000002
"Shen Y.",10,0.0018018018018018,163.083333333333
"Sunde M.",10,0.032258064516129,0.896428571428571
"Veale E.L.",10,0.0555555555555556,0
"Walker R.S.K.",10,0.0015220700152207,33.1946581196581
"Yu F.-H.",10,0.0012987012987013,0.891666666666667
"Stasch J.-P.",10,0.0555555555555556,0
"Ball S.R.",9,0.03125,0.410714285714286
"Dobosz D.",9,0.00126582278481013,23.0000000000001
"Indyka P.",9,0.00126582278481013,23.0000000000001
"Irving H.",9,0.0588235294117647,7
"Jeacock K.",9,0.03125,0.410714285714286
"Liu Y.-X.",9,0.0012970168612192,0.225
"Luo Z.",9,0.00179533213644524,53.65
"Mair I.",9,0.111111111111111,14.75
"Massironi M.",9,0.0769230769230769,0
"Mou C.",9,0.00147710487444609,248.75
"Muema J.",9,0.0588235294117647,15
"Rawski M.",9,0.00126582278481013,23.0000000000001
"Schindler D.",9,0.00179533213644524,1.33333333333333
"Wang W.-N.",9,0.0012970168612192,0.225
"Zhang W.",9,0.00160513643659711,13.9435897435898
"Reid J.M.",9,0.008,3.64285714285714
"Acker P.",8,0.00793650793650794,0.142857142857143
"Burthe S.J.",8,0.00793650793650794,0.142857142857143
"Leighton C.",8,0.0303030303030303,0.285714285714286
"McNeilly T.N.",8,0.03125,80
"Saleeb R.S.",8,0.0303030303030303,0.285714285714286
"Tao W.-Z.",8,0.00129533678756477,0.1
"Thumbi S.M.",8,0.0555555555555556,27.1666666666667
