"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LMVPE5DS","journalArticle","2012","van Ooijen, G.; Knox, K.; Kis, K.; Bouget, F. Y.; Millar, A. J.","Genomic transformation of the picoeukaryote Ostreococcus tauri","J Vis Exp","","1940-087X (Electronic) 1940-087X (Linking)","10.3791/4074","http://www.ncbi.nlm.nih.gov/pubmed/22825291","Common problems hindering rapid progress in Plant Sciences include cellular, tissue and whole organism complexity, and notably the high level of genomic redundancy affecting simple genetics in higher plants. The novel model organism Ostreococcus tauri is the smallest free-living eukaryote known to date, and possesses a greatly reduced genome size and cellular complexity, manifested by the presence of just one of most organelles (mitochondrion, chloroplast, golgi stack) per cell, and a genome containing only ~8000 genes. Furthermore, the combination of unicellularity and easy culture provides a platform amenable to chemical biology approaches. Recently, Ostreococcus has been successfully employed to study basic mechanisms underlying circadian timekeeping. Results from this model organism have impacted not only plant science, but also mammalian biology. This example highlights how rapid experimentation in a simple eukaryote from the green lineage can accelerate research in more complex organisms by generating testable hypotheses using methods technically feasible only in this background of reduced complexity. Knowledge of a genome and the possibility to modify genes are essential tools in any model species. Genomic, Transcriptomic, and Proteomic information for this species is freely available, whereas the previously reported methods to genetically transform Ostreococcus are known to few laboratories worldwide. In this article, the experimental methods to genetically transform this novel model organism with an overexpression construct by means of electroporation are outlined in detail, as well as the method of inclusion of transformed cells in low percentage agarose to allow selection of transformed lines originating from a single transformed cell. Following the successful application of Ostreococcus to circadian research, growing interest in Ostreococcus can be expected from diverse research areas within and outside plant sciences, including biotechnological areas. Researchers from a broad range of biological and medical sciences that work on conserved biochemical pathways may consider pursuing research in Ostreococcus, free from the genomic and organismal complexity of larger model species.","2012","2025-01-31 15:33:00","2025-01-31 15:33:00","","e4074","","65","","","","","","","","","","","eng","","","","22825291","","","Edition: 2012/07/25","","","","*Genome, Plant; *Transformation, Genetic; Chlorophyta/*genetics; DNA, Plant/genetics; Electroporation/*methods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WAPIB2VR","journalArticle","2010","Watterson, S.; Ghazal, P.","Use of logic theory in understanding regulatory pathway signaling in response to infection","Future Microbiol","","1746-0921 (Electronic) 1746-0913 (Linking)","10.2217/fmb.10.8","http://www.ncbi.nlm.nih.gov/pubmed/20143942","Biological pathways link the molecular and cellular levels of biological activity and perform complex information processing seamlessly. Systems biology aims to combine an understanding of the cause-effect relationships of each individual interaction to build an understanding of the function of whole pathways. Therapies that target the 'host' biological processes in infectious diseases are often limited to the use of vaccines and biologics rather than small molecules. The development of host drug targets for small molecules is constrained by a limited knowledge of the underlying role of each target, particularly its potential to cause harmful side effects after targeting. By considering the combinatorial complexity of pathways from the outset, we can develop modeling tools that are better suited to analyzing large pathways, enabling us to identify new causal relationships. This could lead to new drug target strategies that beneficially disrupt host-pathogen interactions, minimizing the number of side effects. We introduce logic theory as part of a pathway modeling approach that can provide a new framework for understanding pathways and refine 'host-based' drug target identification strategies.","2010-02","2025-01-31 15:33:00","2025-01-31 15:33:00","","163-76","","2","5","","","","","","","","","","eng","","","","20143942","","","Edition: 2010/02/11","","","","*Gene Expression Regulation; *Host-Pathogen Interactions; *Infection; *Signal Transduction; Humans; Systems Biology/*methods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z6G97SN3","journalArticle","2013","Le Bihan, T.; Rayner, J.; Roy, M. M.; Spagnolo, L.","Photobacterium profundum under Pressure: A MS-Based Label-Free Quantitative Proteomics Study","PLoS One","","1932-6203 (Electronic) 1932-6203 (Linking)","10.1371/journal.pone.0060897","http://www.ncbi.nlm.nih.gov/pubmed/23741291","Photobacterium profundum SS9 is a Gram-negative bacterium, originally collected from the Sulu Sea. Its genome consists of two chromosomes and a 80 kb plasmid. Although it can grow under a wide range of pressures, P. profundum grows optimally at 28 MPa and 15 degrees C. Its ability to grow at atmospheric pressure allows for both easy genetic manipulation and culture, making it a model organism to study piezophily. Here, we report a shotgun proteomic analysis of P. profundum grown at atmospheric compared to high pressure using label-free quantitation and mass spectrometry analysis. We have identified differentially expressed proteins involved in high pressure adaptation, which have been previously reported using other methods. Proteins involved in key metabolic pathways were also identified as being differentially expressed. Proteins involved in the glycolysis/gluconeogenesis pathway were up-regulated at high pressure. Conversely, several proteins involved in the oxidative phosphorylation pathway were up-regulated at atmospheric pressure. Some of the proteins that were differentially identified are regulated directly in response to the physical impact of pressure. The expression of some proteins involved in nutrient transport or assimilation, are likely to be directly regulated by pressure. In a natural environment, different hydrostatic pressures represent distinct ecosystems with their own particular nutrient limitations and abundances. However, the only variable considered in this study was atmospheric pressure.","2013","2025-01-31 15:33:00","2025-01-31 15:33:00","","e60897","","5","8","","","","","","","","","","eng","","","","23741291","","","Edition: 2013/06/07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AKR8RKKV","journalArticle","2010","Saithong, T.; Painter, K. J.; Millar, A. J.","Consistent robustness analysis (CRA) identifies biologically relevant properties of regulatory network models","PLoS One","","1932-6203 (Electronic) 1932-6203 (Linking)","10.1371/journal.pone.0015589","http://www.ncbi.nlm.nih.gov/pubmed/21179566","BACKGROUND: A number of studies have previously demonstrated that ""goodness of fit"" is insufficient in reliably classifying the credibility of a biological model. Robustness and/or sensitivity analysis is commonly employed as a secondary method for evaluating the suitability of a particular model. The results of such analyses invariably depend on the particular parameter set tested, yet many parameter values for biological models are uncertain. RESULTS: Here, we propose a novel robustness analysis that aims to determine the ""common robustness"" of the model with multiple, biologically plausible parameter sets, rather than the local robustness for a particular parameter set. Our method is applied to two published models of the Arabidopsis circadian clock (the one-loop [1] and two-loop [2] models). The results reinforce current findings suggesting the greater reliability of the two-loop model and pinpoint the crucial role of TOC1 in the circadian network. CONCLUSIONS: Consistent Robustness Analysis can indicate both the relative plausibility of different models and also the critical components and processes controlling each model.","2010","2025-01-31 15:33:00","2025-01-31 15:33:00","","e15589","","12","5","","","","","","","","","","eng","","","","21179566","","","Edition: 2010/12/24","","","","*Circadian Rhythm; *Gene Expression Regulation, Plant; Algorithms; Arabidopsis/*genetics; Circadian Clocks; Computer Simulation; Gene Regulatory Networks; Glycolysis; Models, Genetic; Models, Statistical; Models, Theoretical; Oscillometry; Signal Transduction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LFQWSYY5","journalArticle","2010","Saithong, T.; Painter, K. J.; Millar, A. J.","The contributions of interlocking loops and extensive nonlinearity to the properties of circadian clock models","PLoS One","","1932-6203 (Electronic) 1932-6203 (Linking)","10.1371/journal.pone.0013867","http://www.ncbi.nlm.nih.gov/pubmed/21152419","BACKGROUND: Sensitivity and robustness are essential properties of circadian clock systems, enabling them to respond to the environment but resist noisy variations. These properties should be recapitulated in computational models of the circadian clock. Highly nonlinear kinetics and multiple loops are often incorporated into models to match experimental time-series data, but these also impact on model properties for clock models. METHODOLOGY/PRINCIPAL FINDINGS: Here, we study the consequences of complicated structure and nonlinearity using simple Goodwin-type oscillators and the complex Arabidopsis circadian clock models. Sensitivity analysis of the simple oscillators implies that an interlocked multi-loop structure reinforces sensitivity/robustness properties, enhancing the response to external and internal variations. Furthermore, we found that reducing the degree of nonlinearity could sometimes enhance the robustness of models, implying that ad hoc incorporation of nonlinearity could be detrimental to a model's perceived credibility. CONCLUSION: The correct multi-loop structure and degree of nonlinearity are therefore critical in contributing to the desired properties of a model as well as its capacity to match experimental data.","2010","2025-01-31 15:33:01","2025-01-31 15:33:01","","e13867","","11","5","","","","","","","","","","eng","","","","21152419","","","Edition: 2010/12/15","","","","Algorithms; *Models, Biological; Arabidopsis/*physiology; Circadian Clocks/*physiology; Circadian Rhythm/*physiology; Ecosystem; Feedback, Physiological/physiology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3XKBZIPH","journalArticle","2010","Aitken, S.; Robert, M. C.; Alexander, R. D.; Goryanin, I.; Bertrand, E.; Beggs, J. D.","Processivity and coupling in messenger RNA transcription","PLoS One","","1932-6203 (Electronic) 1932-6203 (Linking)","10.1371/journal.pone.0008845","http://www.ncbi.nlm.nih.gov/pubmed/20126621","BACKGROUND: The complexity of messenger RNA processing is now being uncovered by experimental techniques that are capable of detecting individual copies of mRNA in cells, and by quantitative real-time observations that reveal the kinetics. This processing is commonly modelled by permitting mRNA to be transcribed only when the promoter is in the on state. In this simple on/off model, the many processes involved in active transcription are represented by a single reaction. These processes include elongation, which has a minimum time for completion and processing that is not captured in the model. METHODOLOGY: In this paper, we explore the impact on the mRNA distribution of representing the elongation process in more detail. Consideration of the mechanisms of elongation leads to two alternative models of the coupling between the elongating polymerase and the state of the promoter: Processivity allows polymerases to complete elongation irrespective of the promoter state, whereas coupling requires the promoter to be active to produce a full-length transcript. We demonstrate that these alternatives have a significant impact on the predicted distributions. Models are simulated by the Gillespie algorithm, and the third and fourth moments of the resulting distribution are computed in order to characterise the length of the tail, and sharpness of the peak. By this methodology, we show that the moments provide a concise summary of the distribution, showing statistically-significant differences across much of the feasible parameter range. CONCLUSIONS: We conclude that processivity is not fully consistent with the on/off model unless the probability of successfully completing elongation is low--as has been observed. The results also suggest that some form of coupling between the promoter and a rate-limiting step in transcription may explain the cell's inability to maintain high mRNA levels at low noise--a prediction of the on/off model that has no supporting evidence.","2010","2025-01-31 15:33:01","2025-01-31 15:33:01","","e8845","","1","5","","","","","","","","","","eng","","","","20126621","","","Edition: 2010/02/04","","","","*Transcription, Genetic; Promoter Regions, Genetic; RNA, Messenger/*genetics; Stochastic Processes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FWTV9GDU","journalArticle","2011","Aitken, S.; Alexander, R. D.; Beggs, J. D.","Modelling reveals kinetic advantages of co-transcriptional splicing","PLoS Comput Biol","","1553-7358 (Electronic) 1553-734X (Linking)","10.1371/journal.pcbi.1002215","http://www.ncbi.nlm.nih.gov/pubmed/22022255","Messenger RNA splicing is an essential and complex process for the removal of intron sequences. Whereas the composition of the splicing machinery is mostly known, the kinetics of splicing, the catalytic activity of splicing factors and the interdependency of transcription, splicing and mRNA 3' end formation are less well understood. We propose a stochastic model of splicing kinetics that explains data obtained from high-resolution kinetic analyses of transcription, splicing and 3' end formation during induction of an intron-containing reporter gene in budding yeast. Modelling reveals co-transcriptional splicing to be the most probable and most efficient splicing pathway for the reporter transcripts, due in part to a positive feedback mechanism for co-transcriptional second step splicing. Model comparison is used to assess the alternative representations of reactions. Modelling also indicates the functional coupling of transcription and splicing, because both the rate of initiation of transcription and the probability that step one of splicing occurs co-transcriptionally are reduced, when the second step of splicing is abolished in a mutant reporter.","2011-10","2025-01-31 15:33:01","2025-01-31 15:33:01","","e1002215","","10","7","","","","","","","","","","eng","","","","22022255","","","Edition: 2011/10/25","","","","*Transcription, Genetic; *Models, Genetic; *RNA Splicing; Genes, Fungal; Genes, Reporter; Introns; Kinetics; Saccharomyces cerevisiae/genetics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UZSSEBFY","journalArticle","2011","Waltemath, D.; Adams, R.; Beard, D. A.; Bergmann, F. T.; Bhalla, U. S.; Britten, R.; Chelliah, V.; Cooling, M. T.; Cooper, J.; Crampin, E. J.; Garny, A.; Hoops, S.; Hucka, M.; Hunter, P.; Klipp, E.; Laibe, C.; Miller, A. K.; Moraru, I.; Nickerson, D.; Nielsen, P.; Nikolski, M.; Sahle, S.; Sauro, H. M.; Schmidt, H.; Snoep, J. L.; Tolle, D.; Wolkenhauer, O.; Le Novere, N.","Minimum Information About a Simulation Experiment (MIASE)","PLoS Comput Biol","","1553-7358 (Electronic) 1553-734X (Linking)","10.1371/journal.pcbi.1001122","http://www.ncbi.nlm.nih.gov/pubmed/21552546","","2011-04","2025-01-31 15:33:01","2025-01-31 15:33:01","","e1001122","","4","7","","","","","","","","","","eng","","","","21552546","","","Edition: 2011/05/10","","","","Computer Simulation/*standards; Reproducibility of Results; Research Design/*standards","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VGQDEZDG","journalArticle","2011","Blanc, M.; Hsieh, W. Y.; Robertson, K. A.; Watterson, S.; Shui, G.; Lacaze, P.; Khondoker, M.; Dickinson, P.; Sing, G.; Rodriguez-Martin, S.; Phelan, P.; Forster, T.; Strobl, B.; Muller, M.; Riemersma, R.; Osborne, T.; Wenk, M. R.; Angulo, A.; Ghazal, P.","Host defense against viral infection involves interferon mediated down-regulation of sterol biosynthesis","PLoS Biol","","1545-7885 (Electronic) 1544-9173 (Linking)","10.1371/journal.pbio.1000598","http://www.ncbi.nlm.nih.gov/pubmed/21408089","Little is known about the protective role of inflammatory processes in modulating lipid metabolism in infection. Here we report an intimate link between the innate immune response to infection and regulation of the sterol metabolic network characterized by down-regulation of sterol biosynthesis by an interferon regulatory loop mechanism. In time-series experiments profiling genome-wide lipid-associated gene expression of macrophages, we show a selective and coordinated negative regulation of the complete sterol pathway upon viral infection or cytokine treatment with IFNgamma or beta but not TNF, IL1beta, or IL6. Quantitative analysis at the protein level of selected sterol metabolic enzymes upon infection shows a similar level of suppression. Experimental testing of sterol metabolite levels using lipidomic-based measurements shows a reduction in metabolic output. On the basis of pharmacologic and RNAi inhibition of the sterol pathway we show augmented protection against viral infection, and in combination with metabolite rescue experiments, we identify the requirement of the mevalonate-isoprenoid branch of the sterol metabolic network in the protective response upon statin or IFNbeta treatment. Conditioned media experiments from infected cells support an involvement of secreted type 1 interferon(s) to be sufficient for reducing the sterol pathway upon infection. Moreover, we show that infection of primary macrophages containing a genetic knockout of the major type I interferon, IFNbeta, leads to only a partial suppression of the sterol pathway, while genetic knockout of the receptor for all type I interferon family members, ifnar1, or associated signaling component, tyk2, completely abolishes the reduction of the sterol biosynthetic activity upon infection. Levels of the proteolytically cleaved nuclear forms of SREBP2, a key transcriptional regulator of sterol biosynthesis, are reduced upon infection and IFNbeta treatment at both the protein and de novo transcription level. The reduction in srebf2 gene transcription upon infection and IFN treatment is also found to be strictly dependent on ifnar1. Altogether these results show that type 1 IFN signaling is both necessary and sufficient for reducing the sterol metabolic network activity upon infection, thereby linking the regulation of the sterol pathway with interferon anti-viral defense responses. These findings bring a new link between sterol metabolism and interferon antiviral response and support the idea of using host metabolic modifiers of innate immunity as a potential antiviral strategy.","2011-03","2025-01-31 15:33:01","2025-01-31 15:33:01","","e1000598","","3","9","","","","","","","","","","eng","","","","21408089","","","Edition: 2011/03/17","","","","Signal Transduction; *Down-Regulation; Animals; Antiviral Agents/pharmacology; Cholesterol/metabolism; Herpesviridae Infections/*immunology/metabolism; Hydroxymethylglutaryl-CoA Reductase Inhibitors/pharmacology; Immunity, Innate; Interferon-beta/biosynthesis/pharmacology/*physiology; Interferon-gamma/biosynthesis/pharmacology/*physiology; Macrophages/immunology/metabolism/virology; Mice; Mice, Inbred BALB C; Mice, Inbred C57BL; Muromegalovirus/*immunology; NIH 3T3 Cells; RNA Interference; Simvastatin/pharmacology; Sterol Regulatory Element Binding Protein 2/physiology; Sterols/*biosynthesis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53YCYMJ2","journalArticle","2010","Alexander, R. D.; Barrass, J. D.; Dichtl, B.; Kos, M.; Obtulowicz, T.; Robert, M. C.; Koper, M.; Karkusiewicz, I.; Mariconti, L.; Tollervey, D.; Kufel, J.; Bertrand, E.; Beggs, J. D.","RiboSys, a high-resolution, quantitative approach to measure the in vivo kinetics of pre-mRNA splicing and 3'-end processing in Saccharomyces cerevisiae","RNA","","1469-9001 (Electronic) 1355-8382 (Linking)","10.1261/rna.2162610","http://www.ncbi.nlm.nih.gov/pubmed/20974745","We describe methods for obtaining a quantitative description of RNA processing at high resolution in budding yeast. As a model gene expression system, we constructed tetON (for induction studies) and tetOFF (for repression, derepression, and RNA degradation studies) yeast strains with a series of reporter genes integrated in the genome under the control of a tetO7 promoter. Reverse transcription and quantitative real-time-PCR (RT-qPCR) methods were adapted to allow the determination of mRNA abundance as the average number of copies per cell in a population. Fluorescence in situ hybridization (FISH) measurements of transcript numbers in individual cells validated the RT-qPCR approach for the average copy-number determination despite the broad distribution of transcript levels within a population of cells. In addition, RT-qPCR was used to distinguish the products of the different steps in splicing of the reporter transcripts, and methods were developed to map and quantify 3'-end cleavage and polyadenylation. This system permits pre-mRNA production, splicing, 3'-end maturation and degradation to be quantitatively monitored with unprecedented kinetic detail, suitable for mathematical modeling. Using this approach, we demonstrate that reporter transcripts are spliced prior to their 3'-end cleavage and polyadenylation, that is, cotranscriptionally.","2010-12","2025-01-31 15:33:01","2025-01-31 15:33:01","","2570-80","","12","16","","","","","","","","","","eng","","","","20974745","","","Edition: 2010/10/27","","","","Algorithms; Models, Genetic; Kinetics; *Genes, Reporter; *Saccharomyces cerevisiae/genetics/metabolism; Evaluation Studies as Topic; Image Processing, Computer-Assisted; In Situ Hybridization, Fluorescence/methods; Models, Biological; Reverse Transcriptase Polymerase Chain Reaction/*methods; RNA 3' End Processing/*genetics/physiology; RNA Precursors/analysis/genetics/*metabolism; RNA Splicing/*genetics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
